PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,SPARKOO TECHNOLOGIES INDONESIA,SURABAYA GUBENG,
202601,MEDIA SARANA AKSES (MSA),DENPASAR KALIASEM,
202601,TELKOM INFRASTRUKTUR INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,PT EKA MAS REPUBLIK,MAKASSAR MATOANGIN,
202601,JARINGAN VNT INDONESIA,JAKARTA KARET TENGSIN,
202601,PT BATAM BINTAN TELEKOMUNIKASI,SURABAYA GUBENG,
202601,BAHAR MITRA NET,PALEMBANG TALANG KALAPA,
202601,LINKNET,BANDUNG LEMBONG,
202601,iFORTE SOLUSI INFOTEK,MANADO PANIKI,
202601,MEDIA KERINCI NETWORK,PALEMBANG TALANG KALAPA,
202601,PADI INTERNET,SURABAYA GUBENG,
202601,WOWRACK INDONESIA,DENPASAR KALIASEM,
202601,MMS DIGITAL COMMUNICATION,MEDAN CENTRUM,
202601,BINERKAHAN DIGITAL TELCO,BANDUNG LEMBONG,
202601,PT JASNITA TELEKOMINDO,YOGYAKARTA KOTABARU,Membership Class A
202601,CITRA AGUNG MESTIKA,MANADO PANIKI,
202601,DIGITAL APLIKASI SOLUSI,BANDUNG LEMBONG,
202601,TERASYS VIRTUAL,JAKARTA KARET TENGSIN,
202601,PT HIPERNET INDODATA,SEMARANG CANDI,
202601,INTERNET SOLUSI PRIMA,SEMARANG CANDI,
202601,PT SOLUSINDO BINTANG PRATAMA,JAKARTA MERUYA,
202601,HANASTA DAKARA,BANDUNG LEMBONG,
202601,PT MEDIA ANTAR NUSA,DENPASAR KALIASEM,
202601,XLSMART TELECOM SEJAHTERA,MANADO PANIKI,
202601,HANTAMO WEB CEPAT,YOGYAKARTA KOTABARU,
202601,HERZA DIGITAL INDONESIA,JAKARTA KARET TENGSIN,Membership Class B
202601,TUNAS MEDIA DATA,YOGYAKARTA KOTABARU,
202601,LINTAS NETWORK SOLUSI,JAKARTA KARET TENGSIN,Membership Class B
202601,MILENIAL INTI TELEKOMUNIKASI,PALEMBANG TALANG KALAPA,
202601,HAYKAL SOLUTIONS TECHNOLOGY,BANJARMASIN ULIN,
202601,PT GRAHA INFORMATIKA NUSANTARA,DENPASAR KALIASEM,
202601,PT BATAM BINTAN TELEKOMUNIKASI,MAKASSAR MATOANGIN,
202601,Dalnet System (DALNET),JAKARTA KARET TENGSIN,
202601,NETSPEED BROADBAND INDONESIA,JAKARTA KARET TENGSIN,
202601,LINTASMAYA MULTI MEDIA,SURABAYA GUBENG,Membership Class C
202601,TELKOM DWS,JAKARTA MERUYA,
202601,NUSANTARA AKSES TELEKOMUNIKASI,JAKARTA KARET TENGSIN,
202601,MANUNGGAL SISTEM SEJAHTERA,SEMARANG CANDI,
202601,GLOBAL MEDIA INTEGRA,JAKARTA KARET TENGSIN,
202601,LINTAS JARINGAN NUSANTARA,DENPASAR KALIASEM,
202601,JARINGAN LINTAS UTARA,YOGYAKARTA KOTABARU,
202601,PT ZANROO TECH INDONESIA,JAKARTA JATINEGARA,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,JAKARTA KARET TENGSIN,
202601,PT INFO TEKNO SIAGA,JAKARTA JATINEGARA,
202601,GLOBAL ASRI INVESTAMA,JAKARTA KARET TENGSIN,
202601,ARSENET GLOBAL SOLUSI,JAKARTA KARET TENGSIN,Membership Class B
202601,PEMPROV JAWA TIMUR,SURABAYA GUBENG,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,BATAM CENTRE LT 4,
202601,PT DATASOFT,SURABAYA GUBENG,
202601,PEMPROV KALIMANTAN SELATAN,BATAM CENTRE,
202601,PT ARTACOMINDO JEJARING NUSA,JAKARTA KARET TENGSIN,
202601,PT WIFIKU INDONESIA,JAKARTA KARET TENGSIN,
202601,KEMENTERIAN KOMUNIKASI DAN DIGITAL,BATAM CENTRE LT 4,
202601,DANA PENSIUN PEG TELKOM,YOGYAKARTA KOTABARU,
202601,PT PARAMADAKSA TEKNOLOGI NUSANTARA,JAKARTA MERUYA,
202601,TELKOM INTERNASIONAL INDONESIA,JAKARTA JATINEGARA,
202601,TELKOM INTERNASIONAL INDONESIA,MEDAN CENTRUM,
202601,PT MEETAZA PRAWIRA MEDIA,YOGYAKARTA KOTABARU,
202601,PT MULTIMEDIA TRANS DATA,SURABAYA GUBENG,
202601,PT UNIVERSAL BROADBAND,SURABAYA GUBENG,
202601,PT NIELSEN AUDIENCE MEASUREMENT,MAKASSAR MATOANGIN,
202601,PT GOMEDS NETWORK,MANADO PANIKI,
202601,PEMPROV ACEH,MEDAN CENTRUM,
202601,KERETA COMMUTER INDONESIA,SEMARANG CANDI,
